3 8.2268941402435303e-01
16 6.9566087722778320e+00
21 9.4985427856445312e+00
39 1.8412969589233398e+01
33 1.5324139595031738e+01
44 2.1010639190673828e+01
50 2.3918790817260742e+01
51 2.4527879714965820e+01
56 2.7153350830078125e+01
71 3.4554111480712891e+01
80 3.9107288360595703e+01
103	5.0610481262207031e+01
111	5.4620071411132812e+01
102	5.0169731140136719e+01
135	6.6669120788574219e+01
137	6.7698921203613281e+01
140	6.9229873657226562e+01
160	7.9249076843261719e+01
177	8.7696029663085938e+01
182	9.0253349304199219e+01
211	1.0474919891357422e+02
213	1.0576110076904297e+02
